feature,importance
tenure,0.15862851394158628
TotalCharges,0.15033923205332578
MonthlyCharges,0.13487844325586817
Contract_Month-to-month,0.11183632929492555
InternetService_Fiber optic,0.062438604554557395
PaymentMethod_Electronic check,0.05368282291069217
Contract_Two year,0.04363344217095579
PaperlessBilling,0.023795514370571685
InternetService_No,0.021786195934484144
OnlineSecurity,0.020612618640180633
Contract_One year,0.02001947569926164
TechSupport,0.01948352084429922
InternetService_DSL,0.017989259649892893
gender,0.016310806130572855
OnlineBackup,0.015889258499046384
